12431000	4957250	呼和浩特
11765671	4671468	阿拉善盟
12232875	4932062	包头
11955625	4947843	巴彦淖尔
13242281	5172968	赤峰
12244921	4811437	鄂尔多斯
13330651	6279166	呼伦贝尔
13610312	5376250	通辽
12592812	4986000	乌兰察布
11891406	4791125	乌海
13588718	5760578	兴安盟
12922203	5426343	锡林郭勒盟
11829718	4620062	银川
11831062	4274750	固原
11842625	4697750	石嘴山
11822093	4550375	吴忠
11708968	4484750	中卫
11330796	4360375	西宁
11157750	4066125	果洛
11366375	4343000	海东
11231375	4408250	海北
11356000	4208625	黄南
11198875	4311000	海南州
10836500	4463125	海西
10798625	3871500	玉树
13022000	4366781	济南
13137625	4466000	滨州
12946000	4476000	德州
13206000	4476218	东营
12852437	4172500	菏泽
12978625	4195468	济宁
13173000	4147812	临沂
12910062	4338125	聊城
13099437	4304500	莱芜
13402562	4293187	青岛
13301218	4194250	日照
13036500	4302000	泰安
13593375	4483375	威海
13261218	4373187	潍坊
13510500	4488750	烟台
13141500	4386500	淄博
13086812	4120625	枣庄
12531718	4533781	太原
12591000	4302125	长治
12611593	4852437	大同
12562718	4207718	晋城
12551500	4507875	晋中
12414812	4287218	临汾
12371906	4485156	吕梁
12515968	4741265	朔州
12644187	4533875	阳泉
12549093	4612187	忻州
12355984	4143765	运城
12136468	3831125	安康
11926500	4053593	宝鸡
11913437	3881031	汉中
12238093	3987500	商洛
12127343	4125375	铜川
12187843	4071593	渭南
12101843	4050531	咸阳
12187437	4357656	延安
12215031	4592937	榆林
11884593	3721625	巴中
11380000	3727125	阿坝
11966500	3638296	达州
11621281	3627000	德阳
11781843	3797812	广元
11870718	3543250	广安
11350250	3488687	甘孜
11549281	3427968	乐山
11383968	3214250	凉山
11738671	3340906	泸州
11660750	3671781	绵阳
11559250	3489062	眉山
11695687	3430000	内江
11809593	3584875	南充
11322187	3052312	攀枝花
11752609	3548031	遂宁
11646828	3326203	宜宾
11466843	3479875	雅安
11662406	3399250	自贡
11649062	3497625	资阳
10144281	3439781	拉萨
8919750	3810250	阿里
10817812	3629250	昌都
10510750	3435500	林芝
10248000	3672187	那曲
9894031	3388937	日喀则
10216125	3383750	山南
9752750	5404250	乌鲁木齐
8933812	5008031	阿克苏
9808000	6047250	阿勒泰
9591562	5094843	巴音郭楞
9134812	5573875	博尔塔拉
9718937	5436312	昌吉
10410093	5258187	哈密
8896562	4428000	和田
9447734	5685359	克拉玛依
8478750	4796625	克孜勒苏
8460375	4761468	喀什
9578812	5481062	石河子
9928281	5275531	吐鲁番
9244375	5865375	塔城
9052937	5422687	伊犁
9048640	4917179	阿拉尔
8809367	4817656	图木舒克
9746992	5462757	五家渠
11434031	2863156	昆明
11038250	2872000	保山
11303093	2861625	楚雄
11156765	2930328	大理
10975078	2789015	德宏
11098750	3206500	迪庆
11508312	2658468	红河
11140593	2721375	临沧
11157406	3089062	丽江
11004250	2962375	怒江
11240687	2588812	普洱
11554218	2918000	曲靖
11604531	2659093	文山
11221312	2497421	西双版纳
11415062	2779218	玉溪
11545125	3145312	昭通
13375156	3519531	杭州
13369781	3593750	湖州
13442593	3580375	嘉兴
13318468	3367250	金华
13349437	3286078	丽水
13532093	3466187	宁波
13232703	3349406	衢州
13423359	3482218	绍兴
13511187	3312125	台州
13431125	3230156	温州
13599125	3483687	舟山
13529031	2864218	台北
